"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"530330033022","Block Group 2; Census Tract 33.02; King County; Washington",1138,0,0.0338078291814947,0.0907590759075908,13.1818
"530330033023","Block Group 3; Census Tract 33.02; King County; Washington",1185,0.0245040840140023,0.193248945147679,0.084375,13.4405
"530330034001","Block Group 1; Census Tract 34; King County; Washington",994,0.0267716535433071,0.00905432595573441,0.0203619909502262,16.4444
"530330034002","Block Group 2; Census Tract 34; King County; Washington",1423,0.0279187817258883,0.0569219957835559,0.10586011342155,22.8393
"530330034003","Block Group 3; Census Tract 34; King County; Washington",1163,0.166875784190715,0.0404127257093723,0.0582959641255605,16.8276
"530330035001","Block Group 1; Census Tract 35; King County; Washington",1561,0,0.0691864189622037,0.0789473684210526,15.8824
"530330035002","Block Group 2; Census Tract 35; King County; Washington",1451,0,0.0634045485871813,0.28978978978979,15.1346
"530330035003","Block Group 3; Census Tract 35; King County; Washington",1087,0.0257936507936508,0.109657947686117,0.224622030237581,13.4464
"530330036011","Block Group 1; Census Tract 36.01; King County; Washington",1103,0.0597014925373134,0.117860380779692,0.126849894291755,16.8029
"530330036012","Block Group 2; Census Tract 36.01; King County; Washington",1324,0.0230642504118616,0.144259818731118,0.288227334235453,NA
"530330036013","Block Group 3; Census Tract 36.01; King County; Washington",1080,0.171690694626474,0.269268292682927,0.338301043219076,9.043
"530330036021","Block Group 1; Census Tract 36.02; King County; Washington",1862,0.044080604534005,0.161654135338346,0.252664576802508,11.1319
"530330036022","Block Group 2; Census Tract 36.02; King County; Washington",1279,0,0.0609851446442533,0.140776699029126,12.879
"530330036023","Block Group 3; Census Tract 36.02; King County; Washington",1352,0.0736543909348442,0.298076923076923,0.115766262403528,7.9153
"530330038001","Block Group 1; Census Tract 38; King County; Washington",1447,0.0411099691675231,0.0706371191135734,0.129798903107861,14.2112
"530330038002","Block Group 2; Census Tract 38; King County; Washington",878,0.0403726708074534,0.0968109339407745,0.137426900584795,19.9423
"530330039001","Block Group 1; Census Tract 39; King County; Washington",2186,0.00517751479289941,0.0279048490393413,0.0347129506008011,25.0001
"530330039002","Block Group 2; Census Tract 39; King County; Washington",1163,0,0.0464316423043852,0.115107913669065,20.1908
"530330040001","Block Group 1; Census Tract 40; King County; Washington",2033,0.0482758620689655,0.279841505695889,0.240518962075848,9.2857
"530330040002","Block Group 2; Census Tract 40; King County; Washington",1042,0.0261904761904762,0,0.0645994832041344,24.9417
"530330041011","Block Group 1; Census Tract 41.01; King County; Washington",1412,0.139717425431711,0.00779036827195467,0.0707547169811321,25.0001
"530330041012","Block Group 2; Census Tract 41.01; King County; Washington",1567,0,0,0.0877796901893287,25.0001
"530330041013","Block Group 3; Census Tract 41.01; King County; Washington",1020,0.133891213389121,0.304480651731161,0.225988700564972,14.625
"530330041021","Block Group 1; Census Tract 41.02; King County; Washington",866,0,0.0302325581395349,0.0562770562770563,10.8889
"530330041022","Block Group 2; Census Tract 41.02; King County; Washington",1748,0.0571120689655172,0.0193889541715629,0.0902394106813996,25.0001
"530330041023","Block Group 3; Census Tract 41.02; King County; Washington",1680,0.0287234042553191,0.0347773032336791,0.0646976090014065,24.0787
"530330042011","Block Group 1; Census Tract 42.01; King County; Washington",1495,0.0690954773869347,0.051505016722408,0.109090909090909,16.2313
"530330042012","Block Group 2; Census Tract 42.01; King County; Washington",1026,0.0335664335664336,0.0233918128654971,0.0238611713665944,24.0673
"530330042013","Block Group 3; Census Tract 42.01; King County; Washington",1317,0.049136786188579,0.0660592255125285,0.0588235294117647,19.5
"530330042021","Block Group 1; Census Tract 42.02; King County; Washington",1374,0,0.0269286754002911,0.056379821958457,14.7667
"530330042022","Block Group 2; Census Tract 42.02; King County; Washington",1630,0.0290948275862069,0.0276073619631902,0.0367775831873905,18.1161
"530330042023","Block Group 3; Census Tract 42.02; King County; Washington",1701,0.0630942091616249,0.0254287403903016,0.0568181818181818,25.0001
"530330043011","Block Group 1; Census Tract 43.01; King County; Washington",1413,0.0841799709724238,0.566073102155576,0.357601713062098,5.6287
"530330043012","Block Group 2; Census Tract 43.01; King County; Washington",1223,0.0211161387631976,0.0775577557755776,0.11491935483871,15.0357
"530330043013","Block Group 3; Census Tract 43.01; King County; Washington",850,0.0341463414634146,0.0444711538461538,0.0502958579881657,22.8
"530330043021","Block Group 1; Census Tract 43.02; King County; Washington",1204,0.0597826086956522,0.482558139534884,0.41741357234315,4.4536
"530330043022","Block Group 2; Census Tract 43.02; King County; Washington",1906,0.0536193029490617,0.588811188811189,0.35538752362949,4.5221
"530330043023","Block Group 3; Census Tract 43.02; King County; Washington",1439,0.0212201591511936,0.570394207562349,0.445506692160612,3.346
"530330044011","Block Group 1; Census Tract 44.01; King County; Washington",1214,0.10251256281407,0.280467445742905,0.23049001814882,11.5428
"530330044012","Block Group 2; Census Tract 44.01; King County; Washington",1440,0.032,0.08125,0.2,23.5469
"530330044013","Block Group 3; Census Tract 44.01; King County; Washington",1188,0.118701007838746,0.405181347150259,0.389285714285714,NA
"530330044021","Block Group 1; Census Tract 44.02; King County; Washington",1166,0.0260492040520984,0.448542024013722,0.130094043887147,6.4333
"530330044022","Block Group 2; Census Tract 44.02; King County; Washington",1176,0.0354285714285714,0.41921768707483,0.398886827458256,5.3566
"530330044023","Block Group 3; Census Tract 44.02; King County; Washington",1169,0.0674033149171271,0.341317365269461,0.348623853211009,4.1154
"530330045001","Block Group 1; Census Tract 45; King County; Washington",1206,0.028328611898017,0.438640132669983,0.372703412073491,12.4583
"530330045002","Block Group 2; Census Tract 45; King County; Washington",2269,0.053479381443299,0.0766857646540326,0.138028169014085,20.6667
"530330046001","Block Group 1; Census Tract 46; King County; Washington",1265,0.141592920353982,0.0940711462450593,0.0769230769230769,16.2688
"530330046002","Block Group 2; Census Tract 46; King County; Washington",1486,0.13662456946039,0.0681818181818182,0.0358649789029536,25.0001
"530330046003","Block Group 3; Census Tract 46; King County; Washington",901,0.0340909090909091,0.0521642619311876,0.0582959641255605,11.5
"530330047011","Block Group 1; Census Tract 47.01; King County; Washington",1188,0,0.138888888888889,0.135215453194651,16.9646
"530330047012","Block Group 2; Census Tract 47.01; King County; Washington",1213,0.247835497835498,0.201978565539984,0.259303721488595,8.2234
"530330047013","Block Group 3; Census Tract 47.01; King County; Washington",1045,0.0558312655086849,0.0899521531100479,0.194010416666667,7.3833
"530330047021","Block Group 1; Census Tract 47.02; King County; Washington",666,0.0383795309168444,0.0945945945945946,0,14.7381
"530330047022","Block Group 2; Census Tract 47.02; King County; Washington",1387,0.0263591433278418,0.0295602018745494,0.113680154142582,11.8077
"530330047023","Block Group 3; Census Tract 47.02; King County; Washington",1644,0.0904458598726115,0.219586374695864,0.351224105461394,9.0568
"530330047031","Block Group 1; Census Tract 47.03; King County; Washington",1524,0,0.0131233595800525,0.225524475524476,17.0379
"530330047032","Block Group 2; Census Tract 47.03; King County; Washington",1666,0.0108147080028839,0.0474189675870348,0.0973782771535581,16.5116
"530330047033","Block Group 3; Census Tract 47.03; King County; Washington",983,0.0311231393775372,0.0203458799593082,0,19.125
"530330048001","Block Group 1; Census Tract 48; King County; Washington",1048,0.0531208499335989,0.0648854961832061,0.0889830508474576,23.4167
"530330048002","Block Group 2; Census Tract 48; King County; Washington",1402,0,0.0499286733238231,0.0668563300142248,14.7019
"530330048003","Block Group 3; Census Tract 48; King County; Washington",1343,0.014519056261343,0.135517498138496,0.121069182389937,16.3953
