"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"98065","ZCTA5 98065",15944,0.0231444533120511,0.0150804714231403,0.0674012855831038,19.8216
"98068","ZCTA5 98068",482,0.0204081632653061,0.0767634854771784,0.157205240174672,10.0096
"98070","ZCTA5 98070",9934,0.0765197125655467,0.133224689346099,0.183253588516746,12.0571
"98072","ZCTA5 98072",24446,0.0360131500298864,0.0424730962805352,0.109518288183831,17.5805
"98074","ZCTA5 98074",30761,0.03342151106523,0.0638616114976914,0.11536214953271,24.4362
"98075","ZCTA5 98075",25498,0.0268562401263823,0.0427125823658613,0.0709732777641579,25.0001
"98077","ZCTA5 98077",14109,0.0468340779540903,0.0295556028067191,0.108370229812355,18.4306
"98092","ZCTA5 98092",50224,0.0483016631477572,0.110090270812437,0.106210133590083,12.23
"98101","ZCTA5 98101",17153,0.037618975676084,0.135106632294352,0.173178638457601,12.8882
"98102","ZCTA5 98102",27333,0.0430554927411696,0.123550287198624,0.129624335296472,11.4925
"98103","ZCTA5 98103",52671,0.0400332939533885,0.0955509164384349,0.128865403937037,13.1154
"98104","ZCTA5 98104",16542,0.0970347421996017,0.413655407174653,0.200668197953644,6.146
"98105","ZCTA5 98105",49767,0.0659374465903264,0.300432362706925,0.284442311793559,7.4349
"98106","ZCTA5 98106",28690,0.0415130182143256,0.130331088664422,0.180052582478161,12.4212
"98107","ZCTA5 98107",28776,0.0432409933866716,0.0720394965579584,0.123397537101358,14.2662
"98108","ZCTA5 98108",25529,0.0470571201042496,0.279710087840233,0.165372670807453,9.578
"98109","ZCTA5 98109",34328,0.0422271910853708,0.112688083389771,0.130557967371933,13.3663
"98112","ZCTA5 98112",23921,0.0642395276918752,0.0699496125672185,0.126763143432863,17.1572
"98115","ZCTA5 98115",54349,0.0377650563701151,0.0875586247645777,0.128423436648073,15.6142
"98116","ZCTA5 98116",28711,0.0373852449950227,0.0816777816777817,0.146395274357697,12.6151
"98117","ZCTA5 98117",35711,0.0252383889178804,0.0637340383641784,0.0898351464993659,18.2984
"98118","ZCTA5 98118",50500,0.0450579413769598,0.169890580304455,0.1523258239466,11.3762
"98119","ZCTA5 98119",26879,0.050002685428863,0.0927851354022534,0.111937679837182,12.3551
"98121","ZCTA5 98121",21166,0.0405051227066953,0.150165253628395,0.172102463605823,15.2019
"98122","ZCTA5 98122",43234,0.0617618342729363,0.172769817146717,0.169295610081789,10.6886
"98125","ZCTA5 98125",44520,0.046509074941452,0.149782122778894,0.178025908739366,9.9868
"98126","ZCTA5 98126",22975,0.0602255639097744,0.17918743658741,0.160909445745511,11.6466
"98133","ZCTA5 98133",53249,0.0498613192208372,0.1421623572772,0.177292097379857,9.3662
"98134","ZCTA5 98134",645,0.204651162790698,0.616883116883117,0.192307692307692,6.8214
"98136","ZCTA5 98136",17252,0.0389946405470338,0.090565379246161,0.117030677944704,14.9269
"98144","ZCTA5 98144",33787,0.037642894724255,0.177898702385936,0.157375616455459,9.6969
