"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"53033007101","Census Tract 71.01; King County; Washington",3104,0.048816029143898,0.102879327078615,0.104624007473143,12.2365
"53033007102","Census Tract 71.02; King County; Washington",2696,0.0292397660818713,0.123516320474777,0.181240063593005,12.9181
"53033007201","Census Tract 72.01; King County; Washington",5055,0.0548302872062663,0.273194856577646,0.250284738041002,10.1737
"53033007202","Census Tract 72.02; King County; Washington",3899,0.0510703363914373,0.125559357725717,0.119027661357921,17.4706
"53033007203","Census Tract 72.03; King County; Washington",3591,0.0218811234487263,0.132644512705948,0.104371799921229,13.7007
"53033007301","Census Tract 73.01; King County; Washington",3682,0.0915448188175461,0.194731124388919,0.133092078809811,14.5125
"53033007302","Census Tract 73.02; King County; Washington",5243,0.0520922288642186,0.0837282780410742,0.108162676665705,20.5021
"53033007303","Census Tract 73.03; King County; Washington",3961,0.0294020482325735,0.0520031838684001,0.120147874306839,16.4819
"53033007403","Census Tract 74.03; King County; Washington",2946,0.0393700787401575,0.170739986422267,0.147619047619048,10.6846
"53033007404","Census Tract 74.04; King County; Washington",2645,0.022419627749577,0.116824196597353,0.146509341199607,9.4458
"53033007405","Census Tract 74.05; King County; Washington",2429,0.0475237618809405,0.126389460683409,0.142024377318495,9.875
"53033007406","Census Tract 74.06; King County; Washington",2749,0.0557432432432432,0.141506002182612,0.0996074582924436,7.3788
"53033007501","Census Tract 75.01; King County; Washington",4413,0.0913631022326675,0.182188987083617,0.195113674923651,8.4977
"53033007502","Census Tract 75.02; King County; Washington",3688,0.0425211097708082,0.0951735357917571,0.102032988108937,10.9471
"53033007503","Census Tract 75.03; King County; Washington",2236,0.0824504836480884,0.259838998211091,0.186611374407583,9.3182
"53033007600","Census Tract 76; King County; Washington",4651,0.0404833836858006,0.121245102307357,0.118629908103592,12.8182
"53033007700","Census Tract 77; King County; Washington",5736,0.0313922837287323,0.0594287741706582,0.0732283464566929,18.2206
"53033007800","Census Tract 78; King County; Washington",5527,0.0592720970537262,0.1056542225444,0.206190061028771,20.5056
"53033007901","Census Tract 79.01; King County; Washington",3009,0.0365376250543715,0.183117314722499,0.126469205453691,7.5042
"53033007902","Census Tract 79.02; King County; Washington",3652,0.0481635481635482,0.164747807017544,0.217230199166281,11.5745
"53033008002","Census Tract 80.02; King County; Washington",4415,0.0367786937222574,0.199546998867497,0.145819397993311,12.4464
"53033008003","Census Tract 80.03; King County; Washington",3912,0.0260416666666667,0.103792926704254,0.159440559440559,12.7254
"53033008004","Census Tract 80.04; King County; Washington",3173,0.0388489208633093,0.111566341002206,0.207434603028912,17.8185
"53033008101","Census Tract 81.01; King County; Washington",2854,0.0296176628971459,0.179747722494744,0.155544651619235,11.1346
"53033008102","Census Tract 81.02; King County; Washington",3680,0.0441988950276243,0.231029619181946,0.143888354186718,15.7898
"53033008200","Census Tract 82; King County; Washington",4799,0.0829602317619173,0.126775271512114,0.205863402061856,13.2924
"53033008300","Census Tract 83; King County; Washington",3631,0.00832127351664255,0.164425770308123,0.17053264604811,9.4365
"53033008401","Census Tract 84.01; King County; Washington",3666,0.0924271844660194,0.211417645452062,0.225177969276883,9.6492
"53033008402","Census Tract 84.02; King County; Washington",3150,0.0255290560967417,0.11601150527325,0.150143973673385,8.5587
"53033008500","Census Tract 85; King County; Washington",4649,0.141666666666667,0.509230332291962,0.220804710500491,6.1199
"53033008600","Census Tract 86; King County; Washington",7188,0.10818888224746,0.228887698625245,0.277553375649163,7.5313
"53033008700","Census Tract 87; King County; Washington",4975,0.0229029487546522,0.208583868961227,0.143514259429623,16.6585
"53033008800","Census Tract 88; King County; Washington",4519,0.0855635130041462,0.191173209137281,0.145514223194748,14.5119
"53033008900","Census Tract 89; King County; Washington",6545,0.0611471861471861,0.198817672682016,0.124445959768155,10.2818
