zip,id
98564,20323
98565,19965
98566,20263
98568,20330
98569,20153
98570,20055
98571,19893
98572,19875
98575,19816
98576,19971
98577,20237
98579,20060
98580,20332
98581,20410
98582,19873
98583,20154
98584,20074
98585,19874
98586,19876
98587,20170
98588,20264
98589,19790
98590,19878
98591,20142
98592,19900
98593,20141
98595,20061
98596,20232
98597,19791
98599,19795
98601,20224
98602,19864
98603,19955
98604,19953
98605,20132
98606,20222
98607,19860
98609,19956
98610,19863
98611,20408
98612,20047
98613,20402
98614,20318
98616,19775
98617,20130
98619,20225
98620,19773
98621,20230
98622,20403
98623,20133
98624,20229
98625,20135
98626,20136
98628,20223
98629,20134
98631,19871
98632,20406
98635,19862
98637,20322
98638,20320
98639,19770
98640,20412
98641,19964
98642,20043
98643,20139
98644,19960
98645,19779
98647,20049
98648,19771
98649,20319
98650,20045
98651,20312
98660,20400
98661,19951
98662,20311
98663,20041
98664,20040
98665,20401
98666,20220
98668,19861
98670,19954
98671,20399
98672,19772
98673,20131
98674,20314
98675,20044
98682,20221
98683,19769
98684,20310
98685,20042
98686,19952
98687,19950
98801,20084
98802,19994
98807,19813
98811,20195
98812,20207
98813,19935
98814,20478
98815,19818
98816,19840
98817,20288
98819,19853
98821,20000
98822,20464
98823,19899
98824,19796
98826,20190
98827,20217
98828,19901
98829,20479
98830,20201
98831,19841
98832,20439
98833,20214
98834,20118
98836,20357
98837,19979
98840,20121
98841,20391
98843,19837
98844,20488
98845,20083
98846,19936
98847,19819
98848,20431
98849,20303
98850,20081
98851,20441
98852,20390
98853,20174
98855,20126
98856,20031
98857,19974
98858,19827
98859,20486
98860,19904
98862,20212
98901,19966
98902,20415
98903,20144
98904,19967
98907,20414
98908,19785
98909,19784
98920,20231
98921,19781
98922,19801
98923,20057
98925,20255
98926,20244
98929,19859
98930,19868
98932,20050
98933,20321
98934,20063
98935,20137
98936,20054
98937,20328
98938,20140
98939,19782
98940,20165
98941,20344
98942,20327
98943,20251
98944,19870
98946,20246
98947,20417
98948,19961
98950,20242
98951,19872
98952,19780
98953,20411
99001,19918
99003,19933
99004,19817
99005,20469
99006,20383
99008,20358
99009,20115
99011,20187
99012,20262
99013,20468
99014,20091
99016,19828
99017,20341
99018,19807
99019,20011
99020,20361
99021,20108
99022,20452
99023,20001
99025,19835
99026,20019
99027,20463
99029,19925
99030,19997
99031,20446
99032,20258
99033,20254
99034,20022
99036,20359
99037,20008
99039,20080
99040,20291
99101,20480
99102,20419
99103,20194
99104,19885
99105,20421
99107,20485
99109,20389
99110,20384
99111,19881
99113,20325
99114,20483
99115,19824
99116,19843
99117,19928
99118,19857
99119,20032
99121,20219
99122,20105
99123,20292
99124,20474
99125,19972
99126,20395
99128,20067
99129,20385
99130,20334
99131,19849
99133,20023
99134,20177
99135,20372
99136,20147
99137,20477
99138,19940
99139,20036
99140,19937
99141,19854
99143,19970
99144,19810
99146,20039
99147,19930
99148,20026
99149,19895
99150,19947
99151,20035
99152,20127
99153,20397
99154,19812
99155,20208
99156,19938
99157,19948
99158,19798
99159,19990
99160,20487
99161,19882
99163,20418
99164,20058
99166,19945
99167,19851
99169,20338
99170,19896
99171,20157
99173,19844
99174,20424
99176,19797
99179,19783
99180,20120
99181,20298
99185,20377
99201,20189
99202,19919
99203,20007
99204,20098
99205,20373
99206,20188
99207,20013
99208,20285
99209,20103
99210,20279
99211,20012
99212,19830
99213,20099
99214,20009
99215,20193
99216,19921
99217,20104
99218,20197
99219,20186
99220,20458
99223,20094
99224,20456
99228,20284
99251,20466
99252,20461
99256,19920
99258,20101
99260,20280
99301,19777
99302,20407
99320,20138
99321,20420
99322,19865
99323,19867
99324,20405
99326,19787
99328,20409
99329,20316
99330,19962
99333,20059
99335,19786
99336,20227
99337,19776
99338,19957
99341,20062
99343,20235
99344,20150
99345,19774
99346,20404
99347,20052
99348,19869
99349,19968
99350,20317
99352,19958
99353,19778
99354,19959
99356,20313
99357,20241
99359,20053
99360,20315
99361,20048
99362,19866
99363,20046
99371,19969
99401,20226
99402,20228
99403,20051
