zip,year,category_id,category,count,percentage,total_requests
98073,2025,12,Disaster,0,0%,1
98073,2025,13,Other,1,100.0%,1
98074,2025,2,Housing & Shelter,56,17.3%,323
98074,2025,3,Food,39,12.1%,323
98074,2025,1,Utilities,23,7.1%,323
98074,2025,4,Healthcare & COVID-19,38,11.8%,323
98074,2025,5,Mental Health & Addictions,17,5.3%,323
98074,2025,6,Employment & Income,11,3.4%,323
98074,2025,7,Clothing & Household,11,3.4%,323
98074,2025,8,Child Care & Parenting,1,<1%,323
98074,2025,9,Government & Legal,44,13.6%,323
98074,2025,10,Transportation Assistance,16,5.0%,323
98074,2025,11,Education,1,<1%,323
98074,2025,12,Disaster,8,2.5%,323
98074,2025,13,Other,58,18.0%,323
98075,2025,2,Housing & Shelter,34,20.2%,168
98075,2025,3,Food,16,9.5%,168
98075,2025,1,Utilities,8,4.8%,168
98075,2025,4,Healthcare & COVID-19,5,3.0%,168
98075,2025,5,Mental Health & Addictions,8,4.8%,168
98075,2025,6,Employment & Income,6,3.6%,168
98075,2025,7,Clothing & Household,2,1.2%,168
98075,2025,8,Child Care & Parenting,3,1.8%,168
98075,2025,9,Government & Legal,36,21.4%,168
98075,2025,10,Transportation Assistance,6,3.6%,168
98075,2025,11,Education,0,0%,168
98075,2025,12,Disaster,8,4.8%,168
98075,2025,13,Other,36,21.4%,168
98077,2025,2,Housing & Shelter,29,20.7%,140
98077,2025,3,Food,10,7.1%,140
98077,2025,1,Utilities,9,6.4%,140
98077,2025,4,Healthcare & COVID-19,7,5.0%,140
98077,2025,5,Mental Health & Addictions,6,4.3%,140
98077,2025,6,Employment & Income,3,2.1%,140
98077,2025,7,Clothing & Household,1,<1%,140
98077,2025,8,Child Care & Parenting,2,1.4%,140
98077,2025,9,Government & Legal,36,25.7%,140
98077,2025,10,Transportation Assistance,3,2.1%,140
98077,2025,11,Education,0,0%,140
98077,2025,12,Disaster,4,2.9%,140
98077,2025,13,Other,30,21.4%,140
98083,2025,2,Housing & Shelter,4,50.0%,8
98083,2025,3,Food,0,0%,8
98083,2025,1,Utilities,1,12.5%,8
98083,2025,4,Healthcare & COVID-19,1,12.5%,8
98083,2025,5,Mental Health & Addictions,0,0%,8
98083,2025,6,Employment & Income,0,0%,8
98083,2025,7,Clothing & Household,0,0%,8
98083,2025,8,Child Care & Parenting,0,0%,8
98083,2025,9,Government & Legal,0,0%,8
98083,2025,10,Transportation Assistance,0,0%,8
98083,2025,11,Education,0,0%,8
98083,2025,12,Disaster,1,12.5%,8
98083,2025,13,Other,1,12.5%,8
98089,2025,2,Housing & Shelter,0,0%,2
98089,2025,3,Food,0,0%,2
98089,2025,1,Utilities,1,50.0%,2
98089,2025,4,Healthcare & COVID-19,1,50.0%,2
98089,2025,5,Mental Health & Addictions,0,0%,2
98089,2025,6,Employment & Income,0,0%,2
98089,2025,7,Clothing & Household,0,0%,2
98089,2025,8,Child Care & Parenting,0,0%,2
98089,2025,9,Government & Legal,0,0%,2
98089,2025,10,Transportation Assistance,0,0%,2
98089,2025,11,Education,0,0%,2
98089,2025,12,Disaster,0,0%,2
98089,2025,13,Other,0,0%,2
98092,2025,2,Housing & Shelter,773,31.2%,2481
98092,2025,3,Food,303,12.2%,2481
98092,2025,1,Utilities,285,11.5%,2481
98092,2025,4,Healthcare & COVID-19,108,4.4%,2481
98092,2025,5,Mental Health & Addictions,43,1.7%,2481
98092,2025,6,Employment & Income,49,2.0%,2481
98092,2025,7,Clothing & Household,105,4.2%,2481
98092,2025,8,Child Care & Parenting,19,<1%,2481
98092,2025,9,Government & Legal,317,12.8%,2481
98092,2025,10,Transportation Assistance,69,2.8%,2481
98092,2025,11,Education,6,<1%,2481
98092,2025,12,Disaster,91,3.7%,2481
98092,2025,13,Other,313,12.6%,2481
98093,2025,2,Housing & Shelter,1,25.0%,4
98093,2025,3,Food,1,25.0%,4
98093,2025,1,Utilities,0,0%,4
98093,2025,4,Healthcare & COVID-19,0,0%,4
98093,2025,5,Mental Health & Addictions,0,0%,4
98093,2025,6,Employment & Income,1,25.0%,4
98093,2025,7,Clothing & Household,0,0%,4
98093,2025,8,Child Care & Parenting,0,0%,4
98093,2025,9,Government & Legal,0,0%,4
98093,2025,10,Transportation Assistance,0,0%,4
98093,2025,11,Education,0,0%,4
98093,2025,12,Disaster,0,0%,4
98093,2025,13,Other,1,25.0%,4
98101,2025,2,Housing & Shelter,696,30.8%,2257
98101,2025,3,Food,288,12.8%,2257
98101,2025,1,Utilities,181,8.0%,2257
98101,2025,4,Healthcare & COVID-19,107,4.7%,2257
98101,2025,5,Mental Health & Addictions,62,2.7%,2257
98101,2025,6,Employment & Income,64,2.8%,2257
98101,2025,7,Clothing & Household,67,3.0%,2257
98101,2025,8,Child Care & Parenting,5,<1%,2257
98101,2025,9,Government & Legal,316,14.0%,2257
98101,2025,10,Transportation Assistance,80,3.5%,2257
98101,2025,11,Education,3,<1%,2257
98101,2025,12,Disaster,73,3.2%,2257
98101,2025,13,Other,315,14.0%,2257
98102,2025,2,Housing & Shelter,448,29.8%,1501
98102,2025,3,Food,198,13.2%,1501
98102,2025,1,Utilities,119,7.9%,1501
98102,2025,4,Healthcare & COVID-19,71,4.7%,1501
98102,2025,5,Mental Health & Addictions,19,1.3%,1501
98102,2025,6,Employment & Income,50,3.3%,1501
98102,2025,7,Clothing & Household,27,1.8%,1501
98102,2025,8,Child Care & Parenting,4,<1%,1501
98102,2025,9,Government & Legal,287,19.1%,1501
98102,2025,10,Transportation Assistance,62,4.1%,1501
98102,2025,11,Education,4,<1%,1501
98102,2025,12,Disaster,43,2.9%,1501
98102,2025,13,Other,169,11.3%,1501
98104,2025,2,Housing & Shelter,1817,32.6%,5567
98104,2025,3,Food,691,12.4%,5567
98104,2025,1,Utilities,495,8.9%,5567
98104,2025,4,Healthcare & COVID-19,256,4.6%,5567
98104,2025,5,Mental Health & Addictions,126,2.3%,5567
98104,2025,6,Employment & Income,149,2.7%,5567
98104,2025,7,Clothing & Household,215,3.9%,5567
98104,2025,8,Child Care & Parenting,18,<1%,5567
98104,2025,9,Government & Legal,706,12.7%,5567
98104,2025,10,Transportation Assistance,153,2.7%,5567
98104,2025,11,Education,13,<1%,5567
98104,2025,12,Disaster,189,3.4%,5567
98104,2025,13,Other,739,13.3%,5567
98105,2025,2,Housing & Shelter,664,30.0%,2215
98105,2025,3,Food,275,12.4%,2215
98105,2025,1,Utilities,166,7.5%,2215
98105,2025,4,Healthcare & COVID-19,113,5.1%,2215
98105,2025,5,Mental Health & Addictions,39,1.8%,2215
98105,2025,6,Employment & Income,83,3.7%,2215
98105,2025,7,Clothing & Household,60,2.7%,2215
98105,2025,8,Child Care & Parenting,1,<1%,2215
98105,2025,9,Government & Legal,371,16.7%,2215
98105,2025,10,Transportation Assistance,61,2.8%,2215
98105,2025,11,Education,7,<1%,2215
98105,2025,12,Disaster,64,2.9%,2215
98105,2025,13,Other,311,14.0%,2215
98106,2025,2,Housing & Shelter,699,29.4%,2374
98106,2025,3,Food,286,12.0%,2374
98106,2025,1,Utilities,279,11.8%,2374
98106,2025,4,Healthcare & COVID-19,125,5.3%,2374
98106,2025,5,Mental Health & Addictions,33,1.4%,2374
98106,2025,6,Employment & Income,69,2.9%,2374
98106,2025,7,Clothing & Household,103,4.3%,2374
98106,2025,8,Child Care & Parenting,23,<1%,2374
98106,2025,9,Government & Legal,312,13.1%,2374
98106,2025,10,Transportation Assistance,72,3.0%,2374
98106,2025,11,Education,8,<1%,2374
98106,2025,12,Disaster,84,3.5%,2374
98106,2025,13,Other,281,11.8%,2374
98107,2025,2,Housing & Shelter,328,29.1%,1129
98107,2025,3,Food,139,12.3%,1129
98107,2025,1,Utilities,74,6.6%,1129
98107,2025,4,Healthcare & COVID-19,61,5.4%,1129
98107,2025,5,Mental Health & Addictions,37,3.3%,1129
98107,2025,6,Employment & Income,31,2.7%,1129
98107,2025,7,Clothing & Household,27,2.4%,1129
